longitude,latitude,link,market,city,state,website,photo
-84.413964,33.769789,/About-Skanska/Our-geographic-markets/Atlanta-GA/,"Atlanta, GA",Atlanta,GA,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/Atlanta-GA/,http://www.usa.skanska.com/cdn-1cbc129c073b43f/Global/Local%20Markets/Atlanta/Atl_Overview.jpg
-71.038423,42.346415,/About-Skanska/Our-geographic-markets/Boston-MA/,"Boston, MA",Boston,MA,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/Boston-MA/,http://www.usa.skanska.com/cdn-1cbc129c09860a7/Global/Local%20Markets/Boston/Bos_Overview.jpg
-117.980756,35.134635,/About-Skanska/Our-geographic-markets/California/,California,California,CA,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/California/,http://www.usa.skanska.com/cdn-1cf85b11979b1b6/Global/About%20Skanska/california/cal_home.jpg
-74.225599,40.585761,/About-Skanska/Our-geographic-markets/Carteret-NJ/,"Carteret, NJ",Carteret,NJ,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/Carteret-NJ/,http://www.usa.skanska.com/cdn-1cbc129bcdbcfb9/Global/Local%20Markets/Cart_Overview.jpg
-84.543959,39.14767,/About-Skanska/Our-geographic-markets/Cincinnati-OH/,"Cincinnati, OH",Cincinnati,OH,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/Cincinnati-OH/,http://www.usa.skanska.com/cdn-1d02c2e31ad9d66/Global/Local%20Markets/Cincinnati/Cincinnati_START.jpg
-104.813228,38.875356,/About-Skanska/Our-geographic-markets/Cortez-CO/,Colorado,Colorado,CO,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/Cortez-CO/,http://www.usa.skanska.com/cdn-1cbc129bd1d849e/Global/Local%20Markets/Cort_Overview.jpg
-96.784359,32.736212,/About-Skanska/Our-geographic-markets/Dallas-TX/,"Dallas, TX",Dallas,TX,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/Dallas-TX/,http://www.usa.skanska.com/cdn-1cf49198d6bbf14/Global/Local%20Markets/Dallas/Dallas_Start.jpg
-78.915629,35.975835,/About-Skanska/Our-geographic-markets/Durham-NC/,"Durham, NC",Durham,NC,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/Durham-NC/,http://www.usa.skanska.com/cdn-1cbc129c0a7a87d/Global/Local%20Markets/Durham/Car_Overview.jpg
-87.55585,37.97476,/About-Skanska/Our-geographic-markets/Evansville-IN/,"Evansville, IN",Evansville,IN,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/Evansville-IN/,http://www.usa.skanska.com/cdn-1cd45a74c49b4ea/Global/Local%20Markets/Evansville/Evansville.jpg
-80.384748,27.581087,/About-Skanska/Our-geographic-markets/Florida/,Florida,Florida,FL,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/Florida/,http://www.usa.skanska.com/cdn-1d12c715b605ed2/Global/About%20Skanska/Florida/floridahome.jpg
-95.361416,29.784753,/About-Skanska/Our-geographic-markets/Houston-TX/,"Houston, TX",Houston,TX,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/Houston-TX/,http://www.usa.skanska.com/cdn-1cd87af90924dca/Global/Local%20Markets/Hou_Overview.jpg
-98.239256,26.222223,/About-Skanska/Our-geographic-markets/McAllen-TX/,"McAllen, TX",McAllen,TX,http://www.usa.skanska.com/About-Skanska/Our-geographic-markets/McAllen-TX/,http://www.usa.skanska.com/cdn-1cd87ae59827f9a/Global/Local%20Markets/Har_Overview.jpg
