FID,name,descriptio,riders_15,lexington,riders_17,POINT_X,POINT_Y
0,WTC,E,16910084.000000000000000,0,16910084.000000000000000,-74.009785699999995,40.712573300000003
1,18 Av,F,1392552.000000000000000,0,1392552.000000000000000,-73.976955399999994,40.629799599999998
2,86 St,BC,3474343.000000000000000,0,3474343.000000000000000,-73.969380900000004,40.785318199999999
3,15 St - Prospect Park,"FG* Closed for construction 	1/17/2011-5/23/2011, 	11/14/2011-4/2/2012",2011237.000000000000000,0,2011237.000000000000000,-73.979766499999997,40.660636199999999
4,4 Av-9 St,FG,4199208.000000000000000,0,4199208.000000000000000,-73.989143400000003,40.669962400000003
5,7 Av,FG,3780126.000000000000000,0,3780126.000000000000000,-73.980345700000001,40.666316700000003
6,Bedford-Nostrand Avs,G,2634066.000000000000000,0,2634066.000000000000000,-73.953523599999997,40.689587299999999
7,Broadway,G,1313362.000000000000000,0,1313362.000000000000000,-73.950305000000000,40.706083399999997
8,Carroll St,FG,3672702.000000000000000,0,3672702.000000000000000,-73.994422000000000,40.680833300000003
9,Church Av,FG,3353795.000000000000000,0,3353795.000000000000000,-73.979702000000003,40.643982200000004
10,Clinton-Washington Avs,G,1716023.000000000000000,0,1716023.000000000000000,-73.966827400000000,40.688090400000000
11,Fort Hamilton Pkwy,"FG* Closed for construction 1/17/2011-5/23/2011,	11/14/2011-4/2/2012",1792239.000000000000000,0,1792239.000000000000000,-73.975796700000004,40.650820099999997
12,Greenpoint Av,G* Closed for construction 7/25/2014-9/2/2014,2902723.000000000000000,0,2902723.000000000000000,-73.954467800000003,40.731356400000003
13,Hoyt-Schermerhorn Sts,ACG,3038302.000000000000000,0,3038302.000000000000000,-73.985023499999997,40.688480900000002
14,Bergen St,FG,3708300.000000000000000,0,3708300.000000000000000,-73.990945800000006,40.686137899999999
15,Classon Av,G,1604508.000000000000000,0,1604508.000000000000000,-73.960003900000004,40.688936499999997
16,Fulton St,G,1643353.000000000000000,0,1643353.000000000000000,-73.975410499999995,40.687114200000003
17,Metropolitan Av,GL,5238736.000000000000000,0,5238736.000000000000000,-73.951549499999999,40.713728099999997
18,Myrtle-Willoughby Avs,G,1875988.000000000000000,0,1875988.000000000000000,-73.949017499999997,40.694565900000001
19,Nassau Av,G,2916005.000000000000000,0,2916005.000000000000000,-73.951335000000000,40.724656899999999
20,Smith - 9 St,FG* Closed for construction 6/20/2011-4/26/2013,1636221.000000000000000,0,1636221.000000000000000,-73.995924000000002,40.673607900000000
21,Flushing Av,G,866803.000000000000000,0,866803.000000000000000,-73.950133300000005,40.699869300000003
22,21 St,G* Closed for construction 7/25/2014-9/2/2014,533529.000000000000000,0,533529.000000000000000,-73.949682699999997,40.744070700000002
23,Forest Av,M,1317289.000000000000000,0,1317289.000000000000000,-73.903055199999997,40.704489299999999
24,Court Sq,"EMG, 7* Closed for construction 1/23/2012-4/2/2012",6730837.000000000000000,0,6730837.000000000000000,-73.943781900000005,40.746557899999999
25,138 St-Grand Concourse,45,1056380.000000000000000,0,1056380.000000000000000,-73.929963099999995,40.813192100000002
26,149 St-Grand Concourse,245,4424754.000000000000000,0,4424754.000000000000000,-73.926744499999998,40.818421200000003
27,161 St-Yankee Stadium,BD4,8922188.000000000000000,0,8922188.000000000000000,-73.925843200000003,40.827969000000003
28,167 St,4,3180274.000000000000000,0,3180274.000000000000000,-73.921294200000006,40.835762000000003
29,E 167 St,BD,3295032.000000000000000,0,3295032.000000000000000,-73.917646399999995,40.834495699999998
30,170 St,4,3045205.000000000000000,0,3045205.000000000000000,-73.917646399999995,40.840275099999999
31,170 St,BD,2297459.000000000000000,0,2297459.000000000000000,-73.913826900000004,40.838749100000001
32,174 St,25,2313651.000000000000000,0,2313651.000000000000000,-73.887734399999999,40.837320499999997
33,174-175 Sts,BD,1695879.000000000000000,0,1695879.000000000000000,-73.910136199999997,40.845891700000003
34,176 St,4,1969221.000000000000000,0,1969221.000000000000000,-73.911724100000001,40.848521200000000
35,182-183 Sts,BD,1643266.000000000000000,0,1643266.000000000000000,-73.900737800000002,40.856181999999997
36,183 St,4,2057944.000000000000000,0,2057944.000000000000000,-73.903913500000002,40.858486599999999
37,219 St,25,1108859.000000000000000,0,1108859.000000000000000,-73.862800600000000,40.883604400000003
38,225 St,25,1439495.000000000000000,0,1439495.000000000000000,-73.860483200000004,40.887822200000002
39,231 St,1,2966015.000000000000000,0,2966015.000000000000000,-73.904814700000003,40.878899599999997
40,233 St,25,1762923.000000000000000,0,1762923.000000000000000,-73.857393299999998,40.893434700000000
41,238 St,"1* Closed for construction 	4/11/2011-5/11/2011, 5/23/2011-6/24/2011",1240616.000000000000000,0,1240616.000000000000000,-73.900609000000003,40.885064399999997
42,3 Av-138 St,6,2531974.000000000000000,0,2531974.000000000000000,-73.926143600000003,40.810496200000003
43,3 Av-149 St,25,7363663.000000000000000,0,7363663.000000000000000,-73.917732200000003,40.816115300000000
44,Allerton Av,25,1821628.000000000000000,0,1821628.000000000000000,-73.867392499999994,40.865464699999997
45,Baychester Av,5,1137693.000000000000000,0,1137693.000000000000000,-73.838596300000006,40.878704900000002
46,Bedford Park Blvd,BD,2196065.000000000000000,0,2196065.000000000000000,-73.887777299999996,40.872214900000003
47,Bedford Park Blvd-Lehman College,4,1863892.000000000000000,0,1863892.000000000000000,-73.890051799999995,40.873415600000001
