station,asr_10,asr_11,asr_12,asr_13,asr_14,asr_15,wkd_10,wkd_11,wkd_12,wkd_13,wkd_14,wkd_15,wke_10,wke_11,wke_12,wke_13,wke_14,wke_15,uid,name,descriptio,riders_15,lexington,latitude,longitude,wkd_17_e
103 St-Corona Plaza 7 subway,5831332.0,6095306.0,6130376.0,6314870.0,6464627.0,6527196.0,17751.0,18583.0,18984.0,19216.0,19814.0,20044.0,24002.0,25330.0,25246.0,26098.0,25974.0,26056.0,103st-coronaplaza7,103 St-Corona Plaza,7,6527196.0,0,40.7499554,-73.8626719,20044.0
103 St 1 subway,4167100.0,4302101.0,4366343.0,4427199.0,4199559.0,4258632.0,12968.0,13292.0,13557.0,13500.0,13318.0,13309.0,15798.0,17071.0,17810.0,18130.0,14644.0,15829.0,103st1,103 St,1,4258632.0,0,40.7991592,-73.9685655,13309.0
103 St 6 subway,4799555.0,4901637.0,4861001.0,5038138.0,5198601.0,4031201.0,15210.0,15673.0,15721.0,16189.0,16641.0,13057.0,17051.0,16972.0,16997.0,16793.0,17608.0,13014.0,103st6,103 St,6 *Closed for construction,4031201.0,1,40.7903058,-73.9476657,11360.0
103 St B subway C subway,1556919.0,1453267.0,1472319.0,1528633.0,1555514.0,1521132.0,4782.0,4562.0,4659.0,4760.0,4832.0,4800.0,6212.0,5410.0,5599.0,5799.0,5947.0,5458.0,103stbc,103 St,BC,1521132.0,0,40.7961215,-73.961463,4800.0
104 St  A subway,503835.0,523212.0,507774.0,516000.0,388144.0,538400.0,1693.0,1751.0,1725.0,1736.0,1333.0,1890.0,1336.0,1434.0,1401.0,1350.0,887.0,1014.0,104sta,104 St,"A* Closed for construction 5/12/2014-9/29/2014, 10/13/2014-2/2/2015",538400.0,0,40.6816469,-73.8376951,1890.0
104 St  J subway Z subway,760419.0,782115.0,755193.0,779537.0,827890.0,841545.0,2527.0,2558.0,2553.0,2575.0,2659.0,2710.0,2148.0,2416.0,2108.0,2251.0,2763.0,2774.0,104stjz,104 St,JZ,841545.0,0,40.6952166,-73.8443899,2710.0
110 St 6 subway,3722821.0,3771563.0,3740549.0,3841826.0,3955522.0,4209449.0,11630.0,11836.0,11908.0,12162.0,12452.0,13409.0,13986.0,14111.0,13944.0,13682.0,14381.0,14497.0,110st6,110 St,6,4209449.0,1,40.7947895,-73.944447,11666.0
111 St  7 subway,3457250.0,3494533.0,3473313.0,3607926.0,3659225.0,3699843.0,10457.0,10593.0,10655.0,10914.0,11091.0,11198.0,14531.0,14791.0,14741.0,15183.0,15279.0,15536.0,111st7,111 St,7,3699843.0,0,40.7515647,-73.8558269,11198.0
111 St  A subway,771073.0,798886.0,796622.0,795820.0,802831.0,767647.0,2618.0,2711.0,2728.0,2718.0,2815.0,2727.0,1930.0,2017.0,2102.0,1902.0,1558.0,1303.0,111sta,111 St,"A* Closed for construction 5/12/2014-9/29/2014, 10/13/2014-2/2/2015",767647.0,0,40.6843155,-73.832202,2727.0
111 St  J subway,781872.0,805590.0,764882.0,780300.0,802275.0,812055.0,2650.0,2683.0,2613.0,2605.0,2596.0,2627.0,1976.0,2262.0,2021.0,2130.0,2594.0,2630.0,111stj,111 St,J,812055.0,0,40.6974129,-73.8363647,2627.0
