om, year, month, day, date, time, timezone, state, state_fips, state_number, knots, injuries, fatalities, loss, crop_loss, latitude, longitude, endlat, endlon, length, width, zs,zn,zg,z_fips1, z_fips2, , z_fips4, mt
424009,2013,1,10,2013-01-10,07:21:00,3,MS,28,0,50,0,0,0.025,0,31.55,-91.39,31.55,-91.39,0,0,0,0,0,1,0,0,0,EG
424011,2013,1,10,2013-01-10,07:55:00,3,MS,28,0,50,0,0,0.015,0,31.71,-91.06,31.71,-91.06,0,0,0,0,0,63,0,0,0,EG
424012,2013,1,10,2013-01-10,08:02:00,3,MS,28,0,50,0,0,0.005,0,31.94,-90.97,31.94,-90.97,0,0,0,0,0,21,0,0,0,EG
428691,2013,1,10,2013-01-10,10:39:00,3,LA,22,0,60,0,0,0.01,0,30.8355,-90.15,30.8355,-90.15,0,0,0,0,0,117,0,0,0,EG
428693,2013,1,10,2013-01-10,10:39:00,3,LA,22,0,70,0,0,0.03,0,30.97,-90.1,30.97,-90.1,0,0,0,0,0,117,0,0,0,EG
431311,2013,1,10,2013-01-10,10:40:00,3,LA,22,0,56,0,0,0.01,0,30.884,-90.1415,30.884,-90.1415,0,0,0,0,0,117,0,0,0,EG
422522,2013,1,12,2013-01-12,13:40:00,3,KY,21,0,52,0,0,0,0.01,36.6411,-88.98,36.6411,-88.98,0,0,0,0,0,105,0,0,0,EG
428204,2013,1,12,2013-01-12,14:30:00,3,IL,17,0,56,0,0,0.015,0,37.1579,-88.5004,37.1579,-88.5004,0,0,0,0,0,127,0,0,0,EG
422501,2013,1,12,2013-01-12,14:40:00,3,KY,21,0,56,0,0,0.05,0,37.0083,-88.67,37.0647,-88.6108,0,0,0,0,0,145,0,0,0,EG
428240,2013,1,12,2013-01-12,21:36:00,3,IL,17,0,56,0,0,0.01,0,37.6873,-88.5454,37.689,-88.5333,0,0,0,0,0,165,0,0,0,EG
422503,2013,1,12,2013-01-12,22:15:00,3,IL,17,0,61,0,0,0.02,0,38.42,-87.77,38.42,-87.77,0,0,0,0,0,185,0,0,0,EG
419492,2013,1,12,2013-01-12,22:30:00,3,LA,22,0,53,0,0,0,0,32.69,-93.65,32.69,-93.65,0,0,0,0,0,15,0,0,0,EG
430477,2013,1,12,2013-01-12,22:30:00,3,IL,17,0,65,0,0,0.008,0,38.72,-87.5773,38.72,-87.5773,0,0,0,0,0,101,0,0,0,EG
430480,2013,1,12,2013-01-12,22:32:00,3,IL,17,0,65,0,0,0.05,0,38.7811,-87.5657,38.7811,-87.5657,0,0,0,0,0,101,0,0,0,EG
430478,2013,1,12,2013-01-12,22:33:00,3,IL,17,0,65,0,0,0.015,0,38.82,-87.53,38.82,-87.53,0,0,0,0,0,101,0,0,0,EG
427789,2013,1,13,2013-01-13,00:20:00,3,IN,18,0,52,0,0,0.005,0,39.6505,-86.1017,39.6505,-86.1017,0,0,0,0,0,97,0,0,0,EG
427792,2013,1,13,2013-01-13,00:25:00,3,IN,18,0,56,0,0,0.004,0,39.6198,-86.1964,39.6198,-86.1964,0,0,0,0,0,81,0,0,0,EG
427793,2013,1,13,2013-01-13,00:25:00,3,IN,18,0,52,0,0,0.00075,0,39.6282,-86.1232,39.6282,-86.1232,0,0,0,0,0,81,0,0,0,EG
419504,2013,1,13,2013-01-13,00:40:00,3,LA,22,0,52,0,0,0,0,32.79,-92.87,32.79,-92.87,0,0,0,0,0,27,0,0,0,EG
424456,2013,1,13,2013-01-13,14:59:00,3,TN,47,0,55,0,0,0.005,0,35.7737,-87.1038,35.7737,-87.1038,0,0,0,0,0,119,0,0,0,EG
424455,2013,1,13,2013-01-13,15:10:00,3,TN,47,0,55,0,0,0.005,0,35.659,-86.8544,35.659,-86.8544,0,0,0,0,0,119,0,0,0,EG
431273,2013,1,13,2013-01-13,15:25:00,3,AL,1,0,52,0,0,0,0.005,34.5823,-87.4042,34.5823,-87.4042,0,0,0,0,0,79,0,0,0,EG
429177,2013,1,17,2013-01-17,17:17:00,3,SC,45,0,50,0,0,0.003,0,34.143,-79.2006,34.143,-79.2006,0,0,0,0,0,51,0,0,0,EG
429175,2013,1,17,2013-01-17,17:44:00,3,NC,37,0,65,0,0,0.03,0,34.3882,-78.8222,34.4029,-78.8124,0,0,0,0,0,47,0,0,0,EG
421721,2013,1,29,2013-01-29,05:00:00,3,OK,40,0,65,0,0,0.025,0,35.14,-99.15,35.14,-99.15,0,0,0,0,0,149,0,0,0,EG
421722,2013,1,29,2013-01-29,05:15:00,3,OK,40,0,70,0,0,0.006,0,35.2611,-98.99,35.29,-98.9545,0,0,0,0,0,149,0,0,0,EG
421723,2013,1,29,2013-01-29,05:20:00,3,OK,40,0,65,0,0,0.035,0,35.41,-98.82,35.4641,-98.7465,0,0,0,0,0,149,0,0,0,EG
421725,2013,1,29,2013-01-29,05:56:00,3,OK,40,0,56,0,0,0,0,35.87,-98.2,35.87,-98.2,0,0,0,0,0,73,0,0,0,EG
428457,2013,1,29,2013-01-29,08:30:00,3,OK,40,0,61,0,0,0,0,36.9098,-95.8855,36.9098,-95.8855,0,0,0,0,0,147,0,0,0,MG
422608,2013,1,29,2013-01-29,10:01:00,3,KS,20,0,52,0,0,0,0,37.5,-94.84,37.5,-94.84,0,0,0,0,0,37,0,0,0,EG
422624,2013,1,29,2013-01-29,10:25:00,3,MO,29,0,52,0,0,0.01,0,37.65,-94.57,37.65,-94.57,0,0,0,0,0,11,0,0,0,EG
422625,2013,1,29,2013-01-29,11:02:00,3,MO,29,0,52,0,0,0.001,0,37.83,-93.89,37.83,-93.89,0,0,0,0,0,39,0,0,0,EG
422627,2013,1,29,2013-01-29,11:11:00,3,MO,29,0,52,0,0,0.005,0,37.83,-93.87,37.83,-93.87,0,0,0,0,0,39,0,0,0,EG
422645,2013,1,29,2013-01-29,11:18:00,3,MO,29,0,56,0,0,0,0,38.05,-93.7,38.05,-93.7,0,0,0,0,0,185,0,0,0,EG
422628,2013,1,29,2013-01-29,11:20:00,3,MO,29,0,52,0,0,0.005,0,38,-93.55,38,-93.55,0,0,0,0,0,185,0,0,0,EG
422629,2013,1,29,2013-01-29,11:25:00,3,MO,29,0,52,0,0,0.002,0,38.02,-93.47,38.02,-93.47,0,0,0,0,0,85,0,0,0,EG
422630,2013,1,29,2013-01-29,11:57:00,3,MO,29,0,52,0,0,0,0,38.31,-92.95,38.31,-92.95,0,0,0,0,0,141,0,0,0,EG
422632,2013,1,29,2013-01-29,12:02:00,3,MO,29,0,52,0,0,0.002,0,38.2,-93,38.2,-93,0,0,0,0,0,141,0,0,0,EG
431751,2013,1,29,2013-01-29,12:45:00,3,MO,29,0,52,0,0,0,0,38.5942,-92.3368,38.5804,-92.2804,0,0,0,0,0,51,0,0,0,EG
432075,2013,1,29,2013-01-29,13:00:00,3,MO,29,0,56,0,0,0,0,38.6391,-92.1176,38.7185,-92.0891,0,0,0,0,0,27,0,0,0,EG
422633,2013,1,29,2013-01-29,13:07:00,3,MO,29,0,52,0,0,0.005,0,37.31,-93.48,37.31,-93.48,0,0,0,0,0,77,0,0,0,EG
432076,2013,1,29,2013-01-29,13:30:00,3,MO,29,0,56,0,0,0,0,38.9185,-91.7492,38.9185,-91.7492,0,0,0,0,0,27,0,0,0,EG
422634,2013,1,29,2013-01-29,13:39:00,3,MO,29,0,52,0,0,0.005,0,37.19,-93.3,37.19,-93.3,0,0,0,0,0,77,0,0,0,EG
422635,2013,1,29,2013-01-29,14:01:00,3,MO,29,0,52,0,0,0,0,38.26,-92.17,38.26,-92.17,0,0,0,0,0,125,0,0,0,EG
432077,2013,1,29,2013-01-29,14:20:00,3,MO,29,0,52,0,0,0,0,38.2951,-92.0244,38.2951,-92.0244,0,0,0,0,0,151,0,0,0,EG
432080,2013,1,29,2013-01-29,14:40:00,3,MO,29,0,52,0,0,0,0,38.4261,-91.7749,38.4261,-91.7749,0,0,0,0,0,151,0,0,0,EG
422637,2013,1,29,2013-01-29,14:52:00,3,MO,29,0,52,0,0,0.005,0,37.95,-92.26,37.95,-92.26,0,0,0,0,0,169,0,0,0,EG
422600,2013,1,29,2013-01-29,14:53:00,3,OK,40,0,74,0,0,0.002,0,35.5666,-94.5385,35.5666,-94.5385,0,0,0,0,0,135,0,0,0,EG
